Year,Grader,Grade Type,Grade,Inventory #,Mint Location,DL Toning Degree,Brilliance Obverse,Brilliance Reverse,Toning Obverse,Toning Reverse,EdgeFreq Flat Obverse,EdgeFreq Flat Reverse,EdgeFreq Descriptive Obverse,EdgeFreq Descriptive Reverse,EdgeFreq RedOrange Obverse,EdgeFreq RedOrange Reverse,EdgeFreq Yellow Obverse,EdgeFreq Yellow Reverse,EdgeFreq Green Obverse,EdgeFreq Green Reverse,Unnamed: 21,Unnamed: 22
1883,PCGS-CAC,MS,67,2269085,Carson City,2,10,10,0,0,1423,1359,163314,202863,17979,33226,99678,75389,24632,74461,,
1883,NGC,MS,64,2273719,Carson City,1,9,9,0,0,2962,1036,163542,156650,24941,27623,99736,54973,21960,65602,,
1896,PCGS-CAC,MS,66,2038598,Philadelphia,1,8,8,0,0,3326,1525,168594,207786,33052,34891,99786,68487,34239,85244,,
1878,PCGS,MS,63,1872891,Philadelphia,2,9,8,1.05,0,4862,1934,194277,224082,39848,36691,99791,78266,30087,78218,,
1884,PCGS,MS,66,2075330,Carson City,1,8,8,1.75,0,1962,1553,155310,185606,21456,32986,99807,62683,30299,71981,,
1885,NGC,MS,63,2184474,Philadelphia,1,9,9,0,0,6923,3197,165354,189629,30374,35111,99837,71521,30550,78997,,
1878,NGC-GSA,MS,63,2193392,Carson City,1,9,9,0,0,3663,1871,175126,199385,30569,32375,99890,69812,23321,72921,,
1881,PCGS,MS,67,2063699,Carson City,1,10,10,0,0,1038,1370,167333,221452,17251,34127,99922,76804,28769,86419,,
1882,PCGS,MS,63,2275095,New Orleans,3,9,10,1.65,0,6436,3203,159591,204108,30457,35516,100062,74936,27000,78184,,
1882,NGC,MS,62,2075234,New Orleans,2,8,7,1.75,0.35,4205,1752,158503,166744,28129,33273,100094,50384,24707,64757,,
1883,PCGS,MS,62,2181429,Philadelphia,2,10,9,0.65,0,5473,2643,172530,200864,34475,35832,100108,71521,34629,82449,,
1890,PCGS,MS,63,2034627,Carson City,1,7,6,0,0,4039,2637,180984,191071,39051,36482,100117,60172,36470,82517,,
1880,NGC,MS,62,2287575,San Francisco,3,5,5,3.25,1.3,5018,3169,151368,191500,32756,42351,100154,73975,25444,73998,,
1890,PCGS-CAC,MS,63,2255018,Carson City,1,8,7,0,0,6039,1278,164635,168298,33839,28036,100186,63861,36443,78268,,
1898,NGC,MS,62,2272131,Philadelphia,2,9,9,0,0,5128,3729,181276,218396,37614,40908,100196,75297,30725,80138,,
1880,NGC,MS,63,2283293,San Francisco,2,8,8,0,0,5128,2464,162469,194155,34883,37259,100215,66794,32462,70043,,
1879,NGC-CAC,MS,66,2218965,San Francisco,2,10,9,0,0,1247,1602,167539,193320,22157,29420,100236,66735,25333,76425,,
1884,PCGS,MS,65,2097774,New Orleans,1,9,8,0,0,2984,1887,162334,196589,29459,35695,100260,68948,28065,77946,,
1884,PCGS,MS,64,2071178,New Orleans,1,8,6.75,1.75,0,4266,3558,163450,177311,33885,42243,100279,73411,35194,81158,,
1884,PCGS,MS,64,2260028,Carson City,2,10,10,0,0,3051,1683,182376,191387,25654,33441,100336,63834,26751,67009,,
1882,PCGS,MS,66,2075322,Carson City,1,7,7,1.75,0,3252,2097,161323,189406,29852,35225,100366,65456,30495,78479,,
1882,PCGS,MS,66,2101701,Carson City,1,7,7,1.75,0,3252,2097,161323,189406,29852,35225,100366,65456,30495,78479,,
1885,PCGS-CAC,MS,64,2258037,Carson City,1,10,10,0,0,2556,1999,168727,198290,17989,31839,100421,72840,27348,72747,,
1880,PCGS-CAC,MS,65,2287776,San Francisco,3,7,10,2.6,0,4466,1184,182560,193947,35778,31750,100421,76623,35589,73687,,
1883,PCGS,MS,65,2034628,Carson City,1,9,8,1.75,0,1518,1868,173065,177469,22944,31792,100434,63676,29764,72574,,
1880,NGC,MS,66,2279072,San Francisco,3,10,9,2,0.7,6379,1514,196915,225516,46012,35330,100439,80118,28204,85741,,
1887,ICG,MS,64,2275097,Philadelphia,3,9,10,0.35,0.35,2292,2294,160424,209893,19846,38500,100463,77344,23060,74133,,
1884,PCGS,MS,65,2169458,Carson City,1,10,10,0,0,2974,1851,164223,188995,21887,34056,100531,68214,19152,64028,,
1881,PCGS,MS,64,2248040,Philadelphia,3,6,10,1,1.3,1703,1972,192805,213969,25789,40193,100661,72737,35520,80251,,
1885,PCGS-CAC,MS,64,2295609,New Orleans,3,10,10,0.35,0,2032,2336,147635,190823,26076,36952,100662,68803,21769,75464,,
1879,PCGS,MS,63,1876771,San Francisco,1,7,8,1.75,0,3996,1382,169227,222121,30545,33585,100698,75636,31539,83402,,
1880,PCGS,MS,65,2295589,San Francisco,1,10,9,0,0,4646,1616,171670,170672,35686,32655,100706,54756,27387,74338,,
