Year,Grader,Grade Type,Grade,Inventory #,Mint Location,DL Toning Degree,Brilliance Obverse,Brilliance Reverse,Toning Obverse,Toning Reverse,EdgeFreq Flat Obverse,EdgeFreq Flat Reverse,EdgeFreq Descriptive Obverse,EdgeFreq Descriptive Reverse,EdgeFreq RedOrange Obverse,EdgeFreq RedOrange Reverse,EdgeFreq Yellow Obverse,EdgeFreq Yellow Reverse,EdgeFreq Green Obverse,EdgeFreq Green Reverse,Unnamed: 21,Unnamed: 22
1884,NGC,AU,55,2211918,San Francisco,2,10.0,10.0,0.0,0.65,3645,3969,187456,207173,28906,40948,120598,82989,28723,73404,,
1885,NGC,MS,63,2248070,San Francisco,2,10.0,8.0,0.0,0.0,5478,2835,167852,167473,34250,31904,105821,59861,21039,65082,,
1882,PCGS,MS,65,2235988,Philadelphia,2,10.0,9.0,0.0,0.7,4859,2738,168980,207073,23155,40205,114642,80580,20811,69304,,
1881,NGC,MS,65,1853890,San Francisco,2,10.0,10.0,1.75,0.0,2628,2066,204113,249999,27639,38755,119815,87781,27984,90433,,
1890,PCGS,MS,64,1876788,New Orleans,2,10.0,10.0,0.0,0.35,6065,2835,173987,209535,38968,38888,124127,76446,12718,74598,,
1897,PCGS,MS,63,2156824,San Francisco,1,9.0,8.0,0.35,0.0,3591,1966,184143,219056,34722,35152,104725,72298,29657,82279,,
1879,PCGS,MS,64,2160470,San Francisco,3,10.0,10.0,2.3,0.35,4587,2140,193072,159249,34786,30829,107998,47471,42589,67613,,
1885,PCGS,MS,62,2291444,San Francisco,1,9.0,10.0,0.0,0.0,4482,2862,185297,243064,34150,39187,113392,85257,31575,86669,,
1884,NGC,MS,65,2422023,New Orleans,3,10.0,7.0,1.75,2.95,2236,6076,178372,219704,25768,48818,121918,87976,25647,88615,,
1880,PCGS,MS,62,2458499,Carson City,1,10.0,10.0,0.0,0.0,2800,2341,179331,215879,26758,36409,113716,85820,29550,78083,,
1880,PCGS,MS,63,1883776,Philadelphia,2,10.0,10.0,1.75,0.0,5151,2987,215096,231302,39462,42236,116601,80990,33341,86043,,
1881,NGC,MS,65,2363356,San Francisco,1,10.0,10.0,0.0,0.0,2237,2247,169418,200595,25007,37683,113125,68902,22308,74324,,
1878,PCGS,MS,63,2248037,Philadelphia,3,8.0,10.0,3.95,0.0,7001,1590,236876,249292,56560,42055,127870,82152,35045,101171,,
1885,NGC-CAC,MS,65,2298645,Philadelphia,3,7.0,8.0,2.6,3.6,8537,4608,190539,200899,44937,40112,113568,76332,28385,72681,,
1878,PCGS,MS,62,2160337,Carson City,3,10.0,10.0,2.95,0.0,6788,2449,221625,216533,51586,39807,123122,80535,35908,81002,,
1890,PCGS,MS,64,2218460,New Orleans,1,10.0,10.0,0.0,0.0,4621,2790,187739,205660,32125,39016,119197,79827,23555,73715,,
1883,PCGS,MS,65,2295094,Philadelphia,2,10.0,9.0,0.0,0.0,2899,1864,202409,198726,30764,35266,119345,69359,28683,74267,,
1888,NGC,MS,64,2298995,New Orleans,1,10.0,10.0,0.0,0.0,1936,2432,174517,205577,26435,40265,119741,77748,25267,79564,,
1878,NGC,MS,65,2298762,San Francisco,2,10.0,10.0,0.65,0.0,1178,1556,180396,193072,21787,35960,113929,73517,26868,74317,,
1903,NGC-CAC,MS,64,2279080,New Orleans,1,10.0,10.0,0.0,0.0,2997,2786,199803,242538,30304,41457,135003,85633,26586,87032,,
1881,PCGS,MS,62,1853812,Philadelphia,1,10.0,10.0,1.75,0.0,2506,1971,198303,243217,24985,35472,119313,89230,30549,84455,,
1890,PCGS,MS,62,2223483,San Francisco,1,10.0,10.0,0.0,0.0,6618,2254,203797,225251,40163,38521,118980,73407,29674,79474,,
1899,PCGS,MS,63,2257101,Philadelphia,3,10.0,10.0,0.0,0.0,4519,1401,180129,197447,28937,28960,107233,70581,25995,72276,,
1921,NGC,MS,63,2289687,Philadelphia,3,10.0,10.0,0.0,1.65,5447,4298,212852,249667,30177,53144,123129,80836,38372,95284,,
1880,PCGS,MS,65,2241101,Carson City,2,10.0,10.0,0.0,0.0,3516,2782,177762,205718,25745,30745,110587,79407,30990,80931,,
1882,NGC-GSA,MS,63,2206407,Carson City,1,10.0,10.0,0.0,0.0,4809,2876,196411,201259,28668,35588,105813,66352,27047,70003,,
1904,NGC,MS,65,2296660,New Orleans,1,10.0,10.0,0.0,0.0,2013,2942,200625,221712,26674,38680,130156,85489,26209,80806,,
